Predictor	Importance
Recipient.taxpayer.bin	0.0037914025326272007
Recipient.jury.bin	0.010351009906927496
Recipient.russia.bin	0.009141773638010196
Recipient.anyone.bin	0.03233798324649976
Recipient.son.bin	0.007419298337535564
Recipient.individual.bin	0.005192519596050919
Recipient.guys.bin	0.009452715670051338
Recipient.me.bin	0.052336872819498406
Recipient.parents.bin	0.0011423214828508998
Recipient.irvin.bin	0.014996190137788731
Recipient.women.bin	-0.011279094597832459
Theme.that.bin	0.3226490719751558
Theme.other.bin	0.02327963086330777
Theme.description.bin	0.006710139656290003
Theme.pat.bin	0.0022930112943725586
Theme.custody.bin	0.004803508882570624
Theme.leeway.bin	0.016329488709635014
Theme.recipe.bin	0.004263971376957653
Theme.equipment.bin	0.005610004699060133
Theme.paycheck.bin	0.0018421161012217627
Theme.decision.bin	0.017716606448141936
Theme.process.bin	0.025168222703675358
Theme.mortgage.bin	0.005461983064430272
Theme.headache.bin	0.016637744833142922
Theme.time.bin	5.462002751600053e-4
Semantics	0.020977624232733406
Recipient.type.bin	0.1666415446695955
Recipient.definiteness.bin	0.015063882627783746
Recipient.animacy.bin	0.03241047006542434
Theme.definiteness.bin	0.1702636174493892
Length.difference	0.3853809833591942
