Predictor	Varimp
Recipient.wife.bin	0.00633438056728388
Recipient.advance.bin	0.009670616556864176
Recipient.kids.bin	0.0048107010975236095
Recipient.other.bin	1.719442509367508e-4
Recipient.everybody.bin	0.1602453709970337
Recipient.boy.bin	-0.003389021126944256
Recipient.business.bin	0.0012409913895992108
Recipient.people.bin	0.0026669211206227085
Recipient.person.bin	0.001556781547999646
Recipient.court.bin	0.0012984125010102876
Recipient.it.bin	0.0314468206578447
Theme.power.bin	0.011537591430257711
Theme.service.bin	-0.003069823644523424
Theme.drug.bin	0.006960174264821068
Theme.other.bin	0.01038064065892364
Theme.book.bin	0.017252714509521667
Theme.doubt.bin	0.005887227872274285
Theme.discount.bin	0.02090969404886434
Theme.bag.bin	0.017026896365212325
Theme.one.bin	0.3505760477989245
Theme.appeal.bin	0.013958931871409437
Theme.plant.bin	0.030639732978336113
Theme.these.bin	2.3127803611342057e-4
Theme.referrals.bin	-0.00214560478993394
Theme.half.bin	0.002318396082549152
Semantics	0.017750329250355464
type.Recipient.bin	0.1504879086708884
definiteness.Recipient.bin	0.016652787956735617
animacy.Recipient.bin	0.025824064220997357
definiteness.Theme.bin	0.16893323536515434
Length.difference	0.4066428635150804
